 2020-Sep-05 13:22 *m  272.8011   1.6247
 2020-Sep-05 13:24 *m  273.1177   1.2565
 2020-Sep-05 13:26 *m  273.4344   0.8885
 2020-Sep-05 13:28 *m  273.7511   0.5207
 2020-Sep-05 13:30 *m  274.0680   0.1530
 2020-Sep-05 13:32 *m  274.3850  -0.2145
 2020-Sep-05 13:34 *m  274.7021  -0.5818
 2020-Sep-05 13:36 *s  275.0194  -0.9488
 2020-Sep-05 13:38 *   275.3370  -1.3157
 2020-Sep-05 13:40 *   275.6547  -1.6823
 2020-Sep-05 13:42 *   275.9727  -2.0487
 2020-Sep-05 13:44 *   276.2911  -2.4148
 2020-Sep-05 13:46 *   276.6097  -2.7807
 2020-Sep-05 13:48 *   276.9286  -3.1462
 2020-Sep-05 13:50 *   277.2480  -3.5115
 2020-Sep-05 13:52 *   277.5677  -3.8765
 2020-Sep-05 13:54 *   277.8878  -4.2412
 2020-Sep-05 13:56 *   278.2084  -4.6055
 2020-Sep-05 13:58 *   278.5295  -4.9695
 2020-Sep-05 14:00 *   278.8510  -5.3332
 2020-Sep-05 14:02 *   279.1731  -5.6965
 2020-Sep-05 14:04 *   279.4957  -6.0594
 2020-Sep-05 14:06 *   279.8189  -6.4219
 2020-Sep-05 14:08 *   280.1428  -6.7840
 2020-Sep-05 14:10 *   280.4672  -7.1457
 2020-Sep-05 14:12 *   280.7923  -7.5070
 2020-Sep-05 14:14 *   281.1181  -7.8679
 2020-Sep-05 14:16 *   281.4446  -8.2283
 2020-Sep-05 14:18 *   281.7718  -8.5882
 2020-Sep-05 14:20 *   282.0998  -8.9477
 2020-Sep-05 14:22 *   282.4287  -9.3067
 2020-Sep-05 14:24 *   282.7583  -9.6651
 2020-Sep-05 14:26 *   283.0888 -10.0231
 2020-Sep-05 14:28 *   283.4201 -10.3805
 2020-Sep-05 14:30 *   283.7524 -10.7374
 2020-Sep-05 14:32 *   284.0856 -11.0938
 2020-Sep-05 14:34 *   284.4197 -11.4495
 2020-Sep-05 14:36 *   284.7549 -11.8047
 2020-Sep-05 14:38 *   285.0910 -12.1593
 2020-Sep-05 14:40 *   285.4282 -12.5133
 2020-Sep-05 14:42 *   285.7665 -12.8666
 2020-Sep-05 14:44 *   286.1059 -13.2193
 2020-Sep-05 14:46 *   286.4464 -13.5714
 2020-Sep-05 14:48 *   286.7881 -13.9228
 2020-Sep-05 14:50 *   287.1309 -14.2735
 2020-Sep-05 14:52 *   287.4750 -14.6235
 2020-Sep-05 14:54 *   287.8204 -14.9728
 2020-Sep-05 14:56 *   288.1670 -15.3213
 2020-Sep-05 14:58 *   288.5149 -15.6692
 2020-Sep-05 15:00 *   288.8641 -16.0162
 2020-Sep-05 15:02 *   289.2148 -16.3625
 2020-Sep-05 15:04 *   289.5668 -16.7080
 2020-Sep-05 15:06 *   289.9202 -17.0527
 2020-Sep-05 15:08 *   290.2751 -17.3966
 2020-Sep-05 15:10 *   290.6315 -17.7396
 2020-Sep-05 15:12 *   290.9894 -18.0818
 2020-Sep-05 15:14 *   291.3489 -18.4231
 2020-Sep-05 15:16 *   291.7099 -18.7635
 2020-Sep-05 15:18 *   292.0726 -19.1030
 2020-Sep-05 15:20 *   292.4369 -19.4415
 2020-Sep-05 15:22 *   292.8029 -19.7792
 2020-Sep-05 15:24 *   293.1705 -20.1158
 2020-Sep-05 15:26 *   293.5399 -20.4515
 2020-Sep-05 15:28 *   293.9111 -20.7862
 2020-Sep-05 15:30 *   294.2841 -21.1199
 2020-Sep-05 15:32 *   294.6589 -21.4525
 2020-Sep-05 15:34 *   295.0356 -21.7841
 2020-Sep-05 15:36 *   295.4142 -22.1146
 2020-Sep-05 15:38 *   295.7947 -22.4440
 2020-Sep-05 15:40 *   296.1772 -22.7723
 2020-Sep-05 15:42 *   296.5617 -23.0994
 2020-Sep-05 15:44 *   296.9482 -23.4254
 2020-Sep-05 15:46 *   297.3368 -23.7502
 2020-Sep-05 15:48 *   297.7274 -24.0739
 2020-Sep-05 15:50 *   298.1202 -24.3963
 2020-Sep-05 15:52 *   298.5152 -24.7174
