 2017-Sep-05 16:02 *   345.0860 -60.1541
 2017-Sep-05 16:04 *   346.0137 -60.2404
 2017-Sep-05 16:06 *   346.9459 -60.3209
 2017-Sep-05 16:08 *   347.8823 -60.3955
 2017-Sep-05 16:10 *   348.8226 -60.4643
 2017-Sep-05 16:12 *   349.7665 -60.5272
 2017-Sep-05 16:14 *   350.7137 -60.5842
 2017-Sep-05 16:16 *   351.6640 -60.6351
 2017-Sep-05 16:18 *   352.6169 -60.6801
 2017-Sep-05 16:20 *   353.5722 -60.7190
 2017-Sep-05 16:22 *   354.5295 -60.7518
