 2018-Apr-01 11:14 *m  259.7073   3.9590
 2018-Apr-01 11:16 *m  260.0187   3.5893
 2018-Apr-01 11:18 *m  260.3294   3.2194
 2018-Apr-01 11:20 *m  260.6396   2.8492
 2018-Apr-01 11:22 *m  260.9493   2.4787
 2018-Apr-01 11:24 *m  261.2585   2.1079
 2018-Apr-01 11:26 *m  261.5672   1.7369
 2018-Apr-01 11:28 *m  261.8755   1.3656
 2018-Apr-01 11:30 *m  262.1833   0.9941
 2018-Apr-01 11:32 *m  262.4907   0.6223
 2018-Apr-01 11:34 *m  262.7978   0.2504
 2018-Apr-01 11:36 *m  263.1045  -0.1218
 2018-Apr-01 11:38 *m  263.4109  -0.4941
 2018-Apr-01 11:40 *s  263.7170  -0.8667
 2018-Apr-01 11:42 *   264.0229  -1.2394
 2018-Apr-01 11:44 *   264.3285  -1.6123
 2018-Apr-01 11:46 *   264.6338  -1.9853
 2018-Apr-01 11:48 *   264.9390  -2.3585
 2018-Apr-01 11:50 *   265.2440  -2.7318
 2018-Apr-01 11:52 *   265.5489  -3.1052
 2018-Apr-01 11:54 *   265.8537  -3.4787
 2018-Apr-01 11:56 *   266.1583  -3.8523
 2018-Apr-01 11:58 *   266.4629  -4.2261
 2018-Apr-01 12:00 *   266.7675  -4.5999
 2018-Apr-01 12:02 *   267.0720  -4.9737
 2018-Apr-01 12:04 *   267.3766  -5.3476
 2018-Apr-01 12:06 *   267.6812  -5.7216
 2018-Apr-01 12:08 *   267.9859  -6.0956
 2018-Apr-01 12:10 *   268.2906  -6.4697
 2018-Apr-01 12:12 *   268.5955  -6.8437
 2018-Apr-01 12:14 *   268.9005  -7.2178
 2018-Apr-01 12:16 *   269.2056  -7.5918
 2018-Apr-01 12:18 *   269.5110  -7.9659
 2018-Apr-01 12:20 *   269.8166  -8.3399
 2018-Apr-01 12:22 *   270.1224  -8.7139
 2018-Apr-01 12:24 *   270.4285  -9.0878
 2018-Apr-01 12:26 *   270.7349  -9.4617
