 2023-Sep-01 12:30 *   269.7470  -4.3200
 2023-Sep-01 12:32 *   270.0646  -4.6835
 2023-Sep-01 12:34 *   270.3823  -5.0469
 2023-Sep-01 12:36 *   270.7003  -5.4103
 2023-Sep-01 12:38 *   271.0184  -5.7736
 2023-Sep-01 12:40 *   271.3367  -6.1369
 2023-Sep-01 12:42 *   271.6553  -6.5000
 2023-Sep-01 12:44 *   271.9741  -6.8630
 2023-Sep-01 12:46 *   272.2933  -7.2260
 2023-Sep-01 12:48 *   272.6127  -7.5888
 2023-Sep-01 12:50 *   272.9326  -7.9514
 2023-Sep-01 12:52 *   273.2528  -8.3140
 2023-Sep-01 12:54 *   273.5734  -8.6763
 2023-Sep-01 12:56 *   273.8944  -9.0385
 2023-Sep-01 12:58 *   274.2159  -9.4005
 2023-Sep-01 13:00 *   274.5379  -9.7623
 2023-Sep-01 13:02 *   274.8604 -10.1239
 2023-Sep-01 13:04 *   275.1834 -10.4853
 2023-Sep-01 13:06 *   275.5070 -10.8465
 2023-Sep-01 13:08 *   275.8312 -11.2074
 2023-Sep-01 13:10 *   276.1560 -11.5680
 2023-Sep-01 13:12 *   276.4815 -11.9284
 2023-Sep-01 13:14 *   276.8077 -12.2885
 2023-Sep-01 13:16 *   277.1345 -12.6483
 2023-Sep-01 13:18 *   277.4622 -13.0078
 2023-Sep-01 13:20 *   277.7905 -13.3670
 2023-Sep-01 13:22 *   278.1197 -13.7259
 2023-Sep-01 13:24 *   278.4497 -14.0844
 2023-Sep-01 13:26 *   278.7806 -14.4425
 2023-Sep-01 13:28 *   279.1124 -14.8003
 2023-Sep-01 13:30 *   279.4450 -15.1577
 2023-Sep-01 13:32 *   279.7786 -15.5147
 2023-Sep-01 13:34 *   280.1132 -15.8713
 2023-Sep-01 13:36 *   280.4488 -16.2275
 2023-Sep-01 13:38 *   280.7855 -16.5832
 2023-Sep-01 13:40 *   281.1232 -16.9385
 2023-Sep-01 13:42 *   281.4620 -17.2933
 2023-Sep-01 13:44 *   281.8019 -17.6476
 2023-Sep-01 13:46 *   282.1430 -18.0014
 2023-Sep-01 13:48 *   282.4853 -18.3548
 2023-Sep-01 13:50 *   282.8289 -18.7076
 2023-Sep-01 13:52 *   283.1737 -19.0598
 2023-Sep-01 13:54 *   283.5197 -19.4115
 2023-Sep-01 13:56 *   283.8671 -19.7627
 2023-Sep-01 13:58 *   284.2159 -20.1133
 2023-Sep-01 14:00 *   284.5661 -20.4632
 2023-Sep-01 14:02 *   284.9176 -20.8126
 2023-Sep-01 14:04 *   285.2707 -21.1613
 2023-Sep-01 14:06 *   285.6252 -21.5094
 2023-Sep-01 14:08 *   285.9813 -21.8568
