 2020-Dec-05 13:54 *m  274.9542  26.7321
 2020-Dec-05 13:56 *m  275.2430  26.3583
 2020-Dec-05 13:58 *m  275.5311  25.9848
 2020-Dec-05 14:00 *m  275.8186  25.6115
 2020-Dec-05 14:02 *m  276.1055  25.2384
 2020-Dec-05 14:04 *m  276.3918  24.8655
 2020-Dec-05 14:06 *m  276.6776  24.4929
 2020-Dec-05 14:08 *m  276.9629  24.1205
 2020-Dec-05 14:10 *m  277.2476  23.7484
 2020-Dec-05 14:12 *m  277.5319  23.3765
 2020-Dec-05 14:14 *m  277.8158  23.0049
 2020-Dec-05 14:16 *m  278.0993  22.6336
 2020-Dec-05 14:18 *m  278.3824  22.2626
 2020-Dec-05 14:20 *m  278.6651  21.8919
 2020-Dec-05 14:22 *m  278.9476  21.5215
 2020-Dec-05 14:24 *m  279.2297  21.1514
 2020-Dec-05 14:26 *m  279.5116  20.7817
 2020-Dec-05 14:28 *m  279.7932  20.4122
 2020-Dec-05 14:30 *m  280.0745  20.0431
 2020-Dec-05 14:32 *m  280.3557  19.6744
 2020-Dec-05 14:34 *m  280.6367  19.3060
 2020-Dec-05 14:36 *m  280.9176  18.9380
 2020-Dec-05 14:38 *m  281.1983  18.5704
 2020-Dec-05 14:40 *m  281.4790  18.2031
 2020-Dec-05 14:42 *m  281.7595  17.8363
 2020-Dec-05 14:44 *m  282.0400  17.4698
 2020-Dec-05 14:46 *m  282.3205  17.1038
 2020-Dec-05 14:48 *m  282.6010  16.7381
 2020-Dec-05 14:50 *m  282.8814  16.3729
 2020-Dec-05 14:52 *m  283.1619  16.0082
 2020-Dec-05 14:54 *m  283.4425  15.6439
 2020-Dec-05 14:56 *m  283.7231  15.2800
 2020-Dec-05 14:58 *m  284.0039  14.9166
 2020-Dec-05 15:00 *m  284.2847  14.5536
 2020-Dec-05 15:02 *m  284.5657  14.1912
 2020-Dec-05 15:04 *m  284.8469  13.8292
 2020-Dec-05 15:06 *m  285.1283  13.4677
 2020-Dec-05 15:08 *m  285.4098  13.1068
 2020-Dec-05 15:10 *m  285.6916  12.7463
 2020-Dec-05 15:12 *m  285.9736  12.3864
