 2017-Mar-05 08:50     323.4984 -24.4868
 2017-Mar-05 08:52     323.9427 -24.6985
 2017-Mar-05 08:54     324.3890 -24.9080
 2017-Mar-05 08:56     324.8374 -25.1151
 2017-Mar-05 08:58     325.2877 -25.3199
 2017-Mar-05 09:00     325.7401 -25.5224
 2017-Mar-05 09:02     326.1945 -25.7224
 2017-Mar-05 09:04     326.6509 -25.9201
 2017-Mar-05 09:06     327.1094 -26.1153
 2017-Mar-05 09:08     327.5698 -26.3081
 2017-Mar-05 09:10     328.0323 -26.4984
 2017-Mar-05 09:12     328.4967 -26.6862
 2017-Mar-05 09:14     328.9631 -26.8715
 2017-Mar-05 09:16     329.4315 -27.0542
 2017-Mar-05 09:18     329.9019 -27.2344
 2017-Mar-05 09:20     330.3743 -27.4120
 2017-Mar-05 09:22     330.8486 -27.5870
 2017-Mar-05 09:24     331.3248 -27.7593
 2017-Mar-05 09:26     331.8030 -27.9290
 2017-Mar-05 09:28     332.2831 -28.0961
 2017-Mar-05 09:30     332.7651 -28.2604
 2017-Mar-05 09:32     333.2490 -28.4220
 2017-Mar-05 09:34     333.7347 -28.5809
 2017-Mar-05 09:36     334.2223 -28.7370
 2017-Mar-05 09:38     334.7118 -28.8903
 2017-Mar-05 09:40     335.2031 -29.0409
 2017-Mar-05 09:42     335.6961 -29.1885
 2017-Mar-05 09:44     336.1910 -29.3334
 2017-Mar-05 09:46     336.6876 -29.4754
 2017-Mar-05 09:48     337.1860 -29.6145
 2017-Mar-05 09:50     337.6861 -29.7506
 2017-Mar-05 09:52     338.1878 -29.8839
 2017-Mar-05 09:54     338.6913 -30.0142
 2017-Mar-05 09:56     339.1963 -30.1415
 2017-Mar-05 09:58     339.7030 -30.2658
 2017-Mar-05 10:00     340.2113 -30.3872
 2017-Mar-05 10:02     340.7211 -30.5055
 2017-Mar-05 10:04     341.2325 -30.6207
 2017-Mar-05 10:06     341.7453 -30.7329
 2017-Mar-05 10:08 A   342.2597 -30.8421
 2017-Mar-05 10:10 A   342.7754 -30.9481
 2017-Mar-05 10:12 A   343.2926 -31.0510
 2017-Mar-05 10:14 A   343.8111 -31.1508
 2017-Mar-05 10:16 A   344.3309 -31.2474
 2017-Mar-05 10:18 A   344.8520 -31.3409
 2017-Mar-05 10:20 A   345.3744 -31.4312
 2017-Mar-05 10:22 A   345.8980 -31.5183
 2017-Mar-05 10:24 A   346.4228 -31.6021
 2017-Mar-05 10:26 A   346.9488 -31.6828
 2017-Mar-05 10:28 A   347.4758 -31.7603
