 2020-Dec-05 09:40  m  198.9500  69.4242
 2020-Dec-05 09:42  m  200.1923  69.2958
 2020-Dec-05 09:44  m  201.4207  69.1600
 2020-Dec-05 09:46  m  202.6347  69.0168
 2020-Dec-05 09:48  m  203.8338  68.8665
 2020-Dec-05 09:50  m  205.0176  68.7091
 2020-Dec-05 09:52  m  206.1859  68.5448
 2020-Dec-05 09:54  m  207.3383  68.3738
 2020-Dec-05 09:56  m  208.4746  68.1963
 2020-Dec-05 09:58  m  209.5945  68.0123
 2020-Dec-05 10:00  m  210.6980  67.8221
 2020-Dec-05 10:02  m  211.7849  67.6258
 2020-Dec-05 10:04  m  212.8552  67.4237
 2020-Dec-05 10:06  m  213.9089  67.2157
 2020-Dec-05 10:08  m  214.9459  67.0022
 2020-Dec-05 10:10  m  215.9662  66.7833
 2020-Dec-05 10:12  m  216.9700  66.5591
 2020-Dec-05 10:14  m  217.9574  66.3297
 2020-Dec-05 10:16  m  218.9284  66.0954
 2020-Dec-05 10:18  m  219.8832  65.8563
 2020-Dec-05 10:20  m  220.8220  65.6125
 2020-Dec-05 10:22  m  221.7449  65.3641
 2020-Dec-05 10:24  m  222.6523  65.1114
 2020-Dec-05 10:26  m  223.5441  64.8544
 2020-Dec-05 10:28  m  224.4208  64.5933
 2020-Dec-05 10:30  m  225.2825  64.3282
 2020-Dec-05 10:32  m  226.1295  64.0593
 2020-Dec-05 10:34  m  226.9621  63.7866
 2020-Dec-05 10:36  m  227.7804  63.5103
 2020-Dec-05 10:38  m  228.5848  63.2305
 2020-Dec-05 10:40  m  229.3755  62.9473
 2020-Dec-05 10:42  m  230.1529  62.6609
 2020-Dec-05 10:44 Am  230.9171  62.3713
 2020-Dec-05 10:46 Am  231.6685  62.0786
 2020-Dec-05 10:48 Am  232.4074  61.7829
 2020-Dec-05 10:50 Am  233.1339  61.4844
 2020-Dec-05 10:52 Am  233.8485  61.1832
 2020-Dec-05 10:54 Am  234.5513  60.8792
 2020-Dec-05 10:56 Am  235.2427  60.5727
 2020-Dec-05 10:58 Am  235.9228  60.2637
 2020-Dec-05 11:00 Am  236.5921  59.9523
 2020-Dec-05 11:02 Am  237.2506  59.6385
 2020-Dec-05 11:04 Am  237.8988  59.3225
 2020-Dec-05 11:06 Am  238.5368  59.0043
 2020-Dec-05 11:08 Am  239.1650  58.6840
 2020-Dec-05 11:10 Am  239.7834  58.3617
 2020-Dec-05 11:12 Am  240.3925  58.0373
 2020-Dec-05 11:14 Am  240.9924  57.7111
 2020-Dec-05 11:16 Nm  241.5833  57.3831
 2020-Dec-05 11:18 Nm  242.1656  57.0533
 2020-Dec-05 11:20 Nm  242.7393  56.7218
 2020-Dec-05 11:22 Nm  243.3048  56.3886
 2020-Dec-05 11:24 Nm  243.8622  56.0538
 2020-Dec-05 11:26 Nm  244.4118  55.7175
 2020-Dec-05 11:28 Nm  244.9537  55.3796
 2020-Dec-05 11:30 Nm  245.4881  55.0404
 2020-Dec-05 11:32 Nm  246.0154  54.6997
 2020-Dec-05 11:34 Nm  246.5355  54.3577
 2020-Dec-05 11:36 Nm  247.0488  54.0144
 2020-Dec-05 11:38 Nm  247.5554  53.6699
 2020-Dec-05 11:40 Nm  248.0554  53.3241
 2020-Dec-05 11:42 Nm  248.5491  52.9772
 2020-Dec-05 11:44 Nm  249.0367  52.6291
 2020-Dec-05 11:46 Nm  249.5182  52.2800
 2020-Dec-05 11:48 Nm  249.9938  51.9298
 2020-Dec-05 11:50 Cm  250.4637  51.5786
 2020-Dec-05 11:52 Cm  250.9281  51.2264
 2020-Dec-05 11:54 Cm  251.3870  50.8733
 2020-Dec-05 11:56 Cm  251.8407  50.5192
 2020-Dec-05 11:58 Cm  252.2892  50.1643
 2020-Dec-05 12:00 Cm  252.7328  49.8085
 2020-Dec-05 12:02 Cm  253.1714  49.4519
 2020-Dec-05 12:04 Cm  253.6054  49.0946
 2020-Dec-05 12:06 Cm  254.0347  48.7365
 2020-Dec-05 12:08 Cm  254.4595  48.3776
 2020-Dec-05 12:10 Cm  254.8800  48.0181
 2020-Dec-05 12:12 Cm  255.2962  47.6579
 2020-Dec-05 12:14 Cm  255.7082  47.2970
 2020-Dec-05 12:16 Cm  256.1162  46.9355
 2020-Dec-05 12:18 Cm  256.5203  46.5734
 2020-Dec-05 12:20 Cm  256.9206  46.2108
 2020-Dec-05 12:22 *m  257.3171  45.8476
 2020-Dec-05 12:24 *m  257.7100  45.4838
 2020-Dec-05 12:26 *m  258.0994  45.1196
 2020-Dec-05 12:28 *m  258.4853  44.7549
 2020-Dec-05 12:30 *m  258.8679  44.3897
 2020-Dec-05 12:32 *m  259.2472  44.0240
 2020-Dec-05 12:34 *m  259.6233  43.6580
 2020-Dec-05 12:36 *m  259.9964  43.2915
 2020-Dec-05 12:38 *m  260.3665  42.9247
 2020-Dec-05 12:40 *m  260.7336  42.5575
 2020-Dec-05 12:42 *m  261.0979  42.1899
 2020-Dec-05 12:44 *m  261.4594  41.8220
 2020-Dec-05 12:46 *m  261.8182  41.4538
 2020-Dec-05 12:48 *m  262.1744  41.0853
 2020-Dec-05 12:50 *m  262.5280  40.7165
